,2017-4,2018-1,2018-2,2018-3,2018-4,2019-1,2019-2,2019-3,2019-4,2020-1,2020-2,2020-3,2020-4,2021-1
producto,0,0,0,0,0,0,0,0,0,0,0,0,39,10
proyectar,0,0,0,0,0,0,0,0,0,0,0,0,36,16
próximo-semana,1,0,0,0,0,0,0,0,0,0,0,0,106,44
punto,0,0,1,1,3,0,1,0,0,0,0,3,124,68
punto-básico,0,0,1,0,0,0,0,0,0,0,0,9,80,26
punto-porcentual,0,0,0,0,1,0,1,0,0,0,0,0,48,22
puro-análisis-bursátil,0,0,0,0,0,0,0,0,0,0,0,0,97,0
recuperación-económico,0,0,0,0,0,0,0,0,0,0,0,0,100,43
redar-social,2,1,0,0,0,1,0,0,0,0,0,1,95,38
regulación-temporal,0,0,0,0,0,0,0,0,0,0,0,0,31,22
reino-unido,0,0,0,0,1,0,0,0,0,0,0,2,271,91
rentar-fijo,0,0,0,0,0,0,0,0,0,0,0,0,35,14
rentar-variable,0,0,0,0,0,0,0,0,0,0,0,1,35,16
resultar,0,0,0,0,0,1,0,0,0,0,0,0,59,32
resultar-bruto,0,0,2,0,2,0,0,1,0,0,1,0,39,4
revistar-especial,0,0,0,0,0,0,0,0,0,0,0,0,56,0
salir,0,0,0,0,0,0,0,0,0,0,0,0,46,16
salvador-illa,0,0,0,0,0,0,0,0,0,0,0,0,67,35
sector,0,0,0,0,0,0,0,0,0,0,0,0,88,45
sector-bancario,0,0,0,0,0,0,0,0,0,0,0,2,53,13
sector-financiero,0,0,0,0,0,0,0,0,0,0,0,1,54,25
sector-privar,0,0,0,0,0,0,0,0,0,0,0,1,36,19
sector-turístico,0,0,0,0,0,0,0,0,0,0,0,2,79,33
seguridad-social,0,0,1,0,0,0,0,0,0,0,0,0,92,38
selectivo-español,0,0,1,0,0,0,1,0,0,0,0,6,42,15
semana,2,0,1,0,0,0,0,0,0,0,0,1,154,74
septiembre,2,0,0,0,0,0,0,0,0,0,0,0,56,1
servicio,0,0,0,0,0,0,0,0,0,0,0,0,53,14
sesión,0,0,1,0,2,0,0,0,0,0,0,1,113,60
sitiar-web,0,0,0,0,0,0,0,0,0,0,0,0,33,20
situación-actual,0,0,0,0,0,0,1,0,0,0,0,0,50,8
subir,0,0,0,1,0,1,0,0,0,0,0,2,97,42
tendencia-alcista,0,0,1,0,0,0,0,0,0,0,0,0,41,14
texto,0,0,0,0,0,0,0,0,0,0,0,0,58,16
tipo,0,0,0,1,0,0,0,0,0,0,0,1,36,18
trabajador,0,0,0,0,1,0,0,0,0,0,0,0,45,26
trabajador-autónomo,0,0,0,0,0,0,0,0,0,0,0,0,33,19
trader-watch,0,0,0,0,0,0,0,0,0,0,0,0,46,6
transformación-digital,0,0,0,0,0,1,0,0,0,0,0,1,55,20
tribunal-supremo,0,1,0,0,1,0,0,0,0,0,0,0,68,14
trimestre,2,0,2,1,2,0,0,0,1,0,1,1,237,57
título,0,0,0,1,0,0,0,0,0,1,0,0,39,18
unidos,0,0,0,0,0,0,0,0,0,0,0,0,63,26
unión-europea,0,0,0,0,0,0,0,0,0,0,0,1,164,69
ursula-von-der-leyen,0,0,0,0,0,0,0,0,0,0,0,0,73,22
usuario,0,0,0,0,0,0,0,0,0,0,1,2,66,24
vacuno,0,0,0,0,0,0,0,0,0,0,0,0,105,39
validez-legal,0,0,0,0,0,0,0,0,0,0,0,0,69,21
valorar,0,0,0,0,1,0,0,0,0,0,0,2,35,18
venta,2,0,1,0,0,1,0,0,0,0,0,0,61,27
versión-oficial,0,0,0,0,0,0,0,0,0,0,0,0,71,22
vida,0,0,0,0,0,0,0,0,0,1,0,0,41,22
viernes,0,0,0,0,0,1,0,0,0,1,0,0,35,31
vivienda,0,1,0,0,1,0,0,0,0,0,0,1,31,16
wall-street,0,0,0,3,3,0,1,0,0,0,0,6,54,37
web-noticiasdebolsaes,9,9,13,11,17,10,7,5,4,1,3,9,73,38
zona-euro,0,0,0,0,0,0,0,0,0,0,0,1,55,33
único-versión,0,0,0,0,0,0,0,0,0,0,0,0,74,21
